"","ringnr","X","ID","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal","tarsus_length","body_mass","lBM","lTL","lGT"
"993","8M72326",2381,2381,"f",24,2,"Selvær",2010,2012,0,4,3.30277563773199,0.957092026489053,1,3,1.33333333333333,1.25,"24 2010","8M72326",20.33,34.3,3.53514535417189,3.01209762764026,0.22314355131421
"994","8M72327",2382,2382,"f",24,2,"Selvær",2010,2011,0,3,3,1,1,1,3,1,"24 2010","8M72327",19.665,31.05,3.43559880837949,2.97884040588377,0
"995","8M72329",2384,2384,"m",24,2,"Selvær",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"24 2010","8M72329",20.01,25.5,3.23867845216438,2.99623214859564,0.693147180559945
"996","8M72602",2386,2386,"f",27,1,"Hestmannøy",2010,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2010","8M72602",20.422,33.34,3.50675787732265,3.01661275113335,0.405465108108164
"997","8M72605",2388,2388,"f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M72605",18.8966666666667,29.7666666666667,3.39338919921434,2.9389855396681,0
"998","8M72609",2391,2391,"f",27,1,"Hestmannøy",2010,2012,0,4,4,1,1,2,2,1,"27 2010","8M72609",18.602,29.7,3.39114704580865,2.92326910182028,0
"999","8M72610",2392,2392,"m",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M72610",18.44,29.3333333333333,3.3787245258101,2.91452221812845,0
"1000","8M72617",2395,2395,"f",26,1,"Gjerøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"26 2010","8M72617",20.014,30.52,3.41838220641626,2.99643202866826,0.693147180559945
"1001","8M72640",2401,2401,"f",28,1,"Indre-Kvarøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"28 2010","8M72640",19.944,31.08,3.43656452549945,2.99292834622126,0.693147180559945
"1002","8M72654",2408,2408,"m",20,1,"Nesøy",2010,2011,0,2,2,1,1,1,2,1,"20 2010","8M72654",18.81,31.55,3.45157358898722,2.93438864331294,0
